#property,line_cd,station_cd1,station_cd2
235,11104,1110401,1110402
236,11104,1110402,1110403
237,11104,1110403,1110404
238,11104,1110404,1110405
239,11104,1110405,1110406
240,11104,1110406,1110407
241,11104,1110407,1110408
242,11104,1110408,1110409
243,11104,1110409,1110410
244,11104,1110410,1110411
245,11104,1110411,1110412
246,11104,1110412,1110413
247,11104,1110413,1110414
248,11104,1110414,1110415
249,11104,1110415,1110420
250,11104,1110416,1110417
251,11104,1110417,1110418
252,11104,1110418,1110419
253,11104,1110419,1110420
254,11104,1110420,1110421
255,11104,1110421,1110422
256,11104,1110422,1110423
257,11104,1110423,1110424
258,11104,1110424,1110425
259,11104,1110425,1110426
260,11104,1110426,1110427
261,11104,1110427,1110428
262,11104,1110428,1110429
263,11104,1110429,1110430
264,11104,1110430,1110431
265,11104,1110431,1110432
266,11104,1110432,1110433
267,11104,1110433,1110434
268,11105,1110501,1110502
269,11105,1110502,1110503
270,11105,1110503,1110504
271,11105,1110504,1110505
272,11105,1110505,1110506
273,11105,1110506,1110507
274,11105,1110507,1110508
275,11105,1110508,1110509
276,11105,1110509,1110510
277,11105,1110510,1110511
278,11105,1110511,1110512
279,11105,1110512,1110513
280,11105,1110513,1110514
281,11106,1110601,1110602
282,11106,1110602,1110603
283,11106,1110603,1110604
284,11106,1110604,1110605
285,11106,1110605,1110606
286,11106,1110606,1110607
287,11106,1110607,1110608
288,11106,1110608,1110609
289,11106,1110609,1110610
290,11106,1110610,1110611
291,11106,1110611,1110612
292,11106,1110612,1110613
293,11106,1110613,1110614
294,11106,1110614,1110615
295,11106,1110615,1110616
296,11106,1110616,1110617
297,11106,1110617,1110618
298,11107,1110701,1110702
299,11107,1110702,1110703
300,11107,1110703,1110704
301,11107,1110704,1110705
302,11107,1110705,1110706
303,11107,1110706,1110707
304,11107,1110707,1110708
305,11107,1110708,1110709
306,11107,1110709,1110710
307,11107,1110710,1110711
308,11107,1110711,1110712
309,11107,1110712,1110713
310,11107,1110713,1110714
311,11107,1110714,1110715
312,11107,1110715,1110716
313,11107,1110716,1110717
314,11107,1110717,1110718
315,11107,1110718,1110719
316,11107,1110719,1110720
317,11107,1110720,1110721
318,11107,1110721,1110722
319,11107,1110722,1110723
320,11107,1110723,1110724
321,11107,1110724,1110725
322,11107,1110725,1110726
323,11107,1110726,1110727
324,11107,1110727,1110728
325,11107,1110728,1110729
326,11107,1110729,1110730
327,11107,1110730,1110731
328,11108,1110801,1110802
329,11108,1110802,1110803
330,11108,1110803,1110804
331,11108,1110804,1110805
332,11108,1110805,1110806
333,11108,1110806,1110807
334,11108,1110807,1110808
335,11108,1110808,1110809
336,11108,1110809,1110810
337,11108,1110810,1110811
338,11108,1110811,1110812
339,11108,1110812,1110813
340,11108,1110813,1110814
341,11108,1110814,1110815
342,11108,1110815,1110816
343,11108,1110816,1110817
344,11108,1110817,1110818
345,11108,1110818,1110819
346,11108,1110819,1110820
347,11108,1110820,1110821
348,11109,1110901,1110902
349,11109,1110902,1110903
350,11109,1110903,1110904
351,11109,1110904,1110906
352,11109,1110905,1110906
353,11109,1110906,1110907
354,11109,1110907,1110908
355,11109,1110908,1110909
356,11109,1110909,1110910
357,11109,1110910,1110911
358,11109,1110911,1110912
359,11109,1110912,1110913
360,11109,1110913,1110914
361,11109,1110914,1110915
362,11109,1110915,1110916
363,11109,1110916,1110917
364,11109,1110917,1110918
365,11109,1110918,1110919
366,11110,1111001,1111002
367,11110,1111002,1111003
368,11110,1111003,1111004
369,11110,1111004,1111005
370,11110,1111005,1111006
371,11110,1111006,1111007
372,11110,1111007,1111013
373,11110,1111007,1111008
374,11110,1111008,1111009
375,11110,1111009,1111010
376,11110,1111010,1111011
377,11110,1111011,1111012
378,11110,1111013,1111014
379,11110,1111014,1111015
380,11111,1111101,1111102
381,11111,1111102,1111103
382,11111,1111103,1111104
383,11111,1111104,1111105
384,11111,1111105,1111106
385,11111,1111106,1111107
386,11111,1111107,1111108
387,11111,1111108,1111109
388,11111,1111109,1111110
389,11111,1111110,1111111
390,11111,1111111,1111112
391,11111,1111112,1111113
392,11111,1111113,1111114
393,11111,1111114,1111115
394,11111,1111115,1111117
395,11111,1111117,1111118
396,11111,1111118,1111119
397,11111,1111119,1111120
398,11111,1111120,1111121
399,11111,1111121,1111122
400,11111,1111122,1111123
401,11111,1111123,1111124
402,11111,1111124,1111125
403,11111,1111125,1111126
404,11111,1111126,1111127
405,11111,1111127,1111128
406,11111,1111128,1111129
407,11111,1111129,1111130
408,11112,1111201,1111202
409,11112,1111202,1111203
410,11112,1111203,1111204
411,11112,1111204,1111205
412,11112,1111205,1111206
413,11112,1111206,1111207
414,11112,1111207,1111208
415,11112,1111208,1111209
416,11112,1111209,1111210
417,11112,1111210,1111211
418,11112,1111211,1111212
419,11112,1111212,1111213
420,11112,1111213,1111214
421,11112,1111214,1111215
422,11112,1111215,1111216
423,11112,1111216,1111217
424,11112,1111217,1111218
425,11112,1111218,1111219
426,11112,1111219,1111220
427,11112,1111220,1111221
428,11112,1111221,1111222
429,11112,1111222,1111223
430,11112,1111223,1111224
431,11112,1111224,1111225
432,11112,1111225,1111226
433,11112,1111226,1111227
434,11112,1111227,1111228
435,11112,1111228,1111229
436,11112,1111229,1111230
437,11113,1111301,1111302
438,11113,1111302,1111303
439,11113,1111303,1111304
440,11113,1111304,1111305
441,11113,1111305,1111306
442,11113,1111306,1111307
443,11113,1111307,1111308
444,11113,1111308,1111309
445,11113,1111309,1111310
446,11113,1111310,1111311
447,11113,1111311,1111312
448,11113,1111312,1111313
449,11113,1111313,1111315
450,11113,1111315,1111316
451,11113,1111316,1111317
452,11113,1111317,1111318
453,11113,1111318,1111319
454,11113,1111319,1111320
455,11113,1111320,1111321
456,11114,1111401,1111402
457,11114,1111402,1111403
458,11114,1111403,1111404
459,11114,1111404,1111405
460,11114,1111405,1111406
461,11114,1111406,1111407
462,11114,1111407,1111408
463,11114,1111408,1111409
464,11114,1111409,1111410
465,11114,1111410,1111411
466,11114,1111411,1111412
467,11114,1111412,1111413
468,11114,1111413,1111414
469,11114,1111414,1111415
470,11114,1111415,1111416
471,11114,1111416,1111417
472,11114,1111417,1111418
473,11115,1111501,1111502
474,11115,1111502,1111503
475,11115,1111503,1111504
476,11115,1111504,1111505
477,11115,1111505,1111506
478,11115,1111506,1111507
479,11115,1111507,1111508
480,11115,1111508,1111509
481,11115,1111509,1111510
482,11115,1111510,1111511
483,11115,1111511,1111512
484,11115,1111512,1111513
485,11115,1111513,1111514
486,11115,1111514,1111515
487,11115,1111515,1111516
488,11115,1111516,1111517
489,11115,1111517,1111518
490,11115,1111518,1111519
491,11115,1111519,1111520
492,11115,1111520,1111521
493,11115,1111521,1111522
494,11115,1111522,1111523
